tick,delta_ns
0,203926541.57461235
1,202539120.5963678
2,199690792.00892264
3,205075195.91689435
4,284426413.6548792
5,201305059.36835632
6,205159082.7050676
7,206913541.46041146
8,202463153.3665732
9,199675673.72344062
10,206211977.79894358
11,200296887.07150528
12,201459392.31777295
13,196744062.68191585
14,200206317.77862054
15,206538824.42648333
16,203356757.6300506
17,201247046.3248125
18,202975560.39361656
19,201476002.03951982
20,202888918.0997522
21,205085582.15824848
22,203124805.4925235
23,195522466.54035577
24,198553479.82141858
25,204280876.38929874
26,203969650.02485022
27,207038595.74862492
28,202527602.5150754
29,199329933.69859365
30,201950284.6461452
31,203994443.09028208
32,206366198.31058314
33,202400117.54584453
34,200396653.24739435
35,201286754.27698717
36,202333426.37869298
37,201935237.45921284
38,310171412.73330545
39,202122532.6039304
40,198736578.74796873
41,207153383.25062376
42,193654691.80856735
43,198616052.90287414
44,203931478.07164407
45,196237558.61636928
46,202725267.37541762
47,197106956.06386063
48,198645674.87290227
49,199871751.85516867
50,201658432.89064333
51,204259780.85981715
52,202083389.7296481
53,207526978.75305152
54,202726321.57009393
55,199687615.95098126
56,195593445.226689
57,202247086.41676342
58,204042627.20366794
59,199799462.43091106
60,207650301.2015906
61,200287718.40536952
62,197773435.4915259
63,200905985.436136
64,201460099.61623833
65,208649383.2625759
66,197644219.05604818
67,201075719.89033636
68,204446346.97596222
69,199663713.23991808
70,200855723.87288967
71,201328351.48393977
72,204370019.83477962
73,204071675.09138787
74,200359567.36213928
75,199483914.63554677
76,202047593.0137148
77,199932165.48667955
78,202455163.5285866
79,197423205.001786
80,201937901.1928865
81,203674624.6469913
82,201571837.0457113
83,202386614.90286747
84,200915109.68368402
85,200421723.6503101
86,199221390.07823655
87,204140643.6588388
88,204486097.98513284
89,201141027.28408268
90,196421868.3933073
91,204160743.42987797
92,198574632.29588827
93,198480937.98406437
94,204458285.00542068
95,201597727.38529944
96,199824752.05017242
97,202181702.5356203
98,199635820.27969828
99,201843096.67908135
100,199477805.75597104
101,202907726.3167301
102,227236594.96612567
103,331339132.9837337
104,466856338.982305
105,430760029.1682512
106,408535247.85190266
107,486016932.88247305
108,517475650.50134593
109,553069885.8953301
110,548257847.0212992
111,587716485.9156775
112,601088354.1115774
113,631736350.9938688
114,693656889.5416906
115,735706982.8094535
116,785095190.6137104
117,895852072.4671371
118,861127755.125309
119,861051199.4441278
120,985682417.391017
121,1013831130.2248623
122,1011520517.8997824
123,1046024581.963907
124,1072162686.1238463
125,1022061371.5558207
126,1143936917.7769098
127,1056869229.1267353
128,1130363566.8191092
129,1185388278.6337466
130,1081159430.6730058
131,1248444421.1859298
132,1109449285.90225
133,1283037994.370289
134,1321061682.666796
135,1202595978.9460466
136,1175240452.0176036
137,1185412812.769892
138,1183804594.9701624
139,1256651132.9282193
140,1174838347.2736044
141,1232828649.9223323
142,1303897308.7602031
143,1258457381.0698574
144,1342332061.9129295
145,1407066817.170309
146,1390406990.0953283
147,1565073120.7164686
148,1497620729.1493616
149,1401991029.3719363
150,1562304294.9018362
151,1556244476.1230774
152,1458670172.4216774
153,1437936309.016765
154,1370915655.8275223
155,1411414034.7070954
156,1494812112.5619242
157,1532228387.1330538
158,1501031509.3103738
159,1577506664.7410703
160,1544691078.9731092
161,1543961870.5748577
162,1509741616.948888
163,1689848026.204051
164,1585341233.1691794
165,1559596231.8042498
166,1670731755.755197
167,1657430458.0777824
168,1642509436.396444
169,1763988581.0910785
170,1676272101.2188296
171,1625866984.0542307
172,1649797665.4158514
173,1563067331.636281
174,1482668773.7392733
175,1690658715.7495894
176,1741238237.7782533
177,1599642858.5147202
178,1626359650.6745987
179,1779181787.5361953
180,1893147325.3678167
181,1644540702.3321948
182,1604786605.3178718
183,1695281290.0146203
184,1736141075.2516475
185,1686856864.744192
186,1727676942.06622
187,1868779207.0801094
188,1728240685.3717315
189,1861734579.719416
190,1820052666.2299767
191,1925636708.0099335
192,1959147830.226289
193,1880917216.2361495
194,2102178937.0905073
195,1904102871.1705072
196,1833823207.1763406
197,2015697789.1256022
198,1832715573.0305736
199,1951472571.208406
200,1881639822.2967753
201,1813701204.989872
202,1967906007.377599
203,1980550444.0262146
204,1833701810.5631402
205,1985534917.5433145
206,1913459772.9080722
207,1799502558.418716
208,1832475672.896394
209,1901478196.2402332
210,1868961121.375862
211,1814923221.8498611
212,1635342970.1091704
213,1575853230.8169746
214,1661540859.0713136
215,1700695747.0029664
216,1821920082.327444
217,1721366594.7888372
218,1819840231.3730445
219,1897353593.2734838
220,1792672606.1413124
221,1807095470.6911728
222,1898351384.1120334
223,1873774715.6554255
224,1874246519.9880655
225,2078637927.1651053
226,1878099591.02977
227,2038471194.771891
228,1954294733.687814
229,1940585090.713622
230,1920885214.5921655
231,1927781259.9326603
232,1896663188.3969643
233,1838412914.8363123
234,1772110284.0013082
235,1857429996.8412442
236,1878865133.543226
237,2016112574.0847914
238,2057557615.995568
239,1952919968.3482666
240,1873571089.911785
241,1897279878.6816292
242,1908184682.9587703
243,1854177551.0123749
244,1862212297.6887875
245,1983272845.1331656
246,1901560305.8973956
247,1963417826.7915618
248,1830234712.326983
249,1754309953.1471367
250,1688351764.1400797
251,1694459090.5185523
252,1630782140.936648
253,1844678752.4985285
254,1786865858.4759576
255,1778735324.3543074
256,1781144155.493912
257,1817722646.6029215
258,1762618052.586481
259,1774097893.9206064
260,1897991704.2609463
261,1814652432.2906241
262,1857057155.0681844
263,1829660931.077554
264,1811020675.4655144
265,1830673956.8603873
266,1763610387.283496
267,1776296195.3632698
268,1843294913.5189505
269,1783814886.6153207
270,1726063767.2086036
271,1898391615.2346277
272,1749457580.810469
273,1807299608.2670968
274,1713905002.4120607
275,1765590927.6813545
276,1809803040.5792234
277,1833194164.5467165
278,1970453378.5423782
279,1868281460.2870412
280,1816231253.1397054
281,1917316450.367532
282,1961835414.432081
283,1920952193.592553
284,1822785905.2585917
285,1951805421.130096
286,1928462763.0399134
287,1929133140.6603293
288,1935107799.2617977
289,1883864989.2316759
290,1962436335.3775005
291,1814357672.0752554
292,1819039050.092581
293,1731806390.1679702
294,1833404421.2878656
295,1873282875.2094984
296,1895834711.2598727
297,1868567730.7277536
298,1766423157.26505
299,1839832010.112531
300,1715332453.4749503
301,1902639576.8591816
302,1822555478.2616894
303,1893127275.5663335
304,1856214745.6174757
305,1664605033.1222787
306,1847787696.7005148
307,1744103920.6205895
308,1725309892.8029325
309,1830125474.2206607
310,1761980753.0375783
311,1730979016.1774921
312,1730522217.662575
313,1683505588.841414
314,1618651174.9720511
315,1614940278.3304636
316,1713238417.0139704
317,1604239507.7917833
318,1676495338.6369305
319,1620581137.454067
320,1594002474.5735004
321,1644904844.1276171
322,1496075374.0889916
323,1630541509.8570392
324,1573958812.6171257
325,1609397509.582764
326,1674227181.6672406
327,1768967327.3087666
328,1760127523.4270506
329,1733961062.0942252
330,1757032294.7440844
331,1754639002.3485491
332,1714641831.7110837
333,1857224071.4667618
334,1817905538.7824173
335,1883979135.780352
336,1741377483.3747523
337,1913771774.8056507
338,1703308964.325735
339,1783683535.4300191
340,1833107820.0488744
341,1832274995.073743
342,1907930361.3357952
343,1918452919.5261674
344,1746738861.537768
345,1834257791.2275352
346,1804517640.5796943
347,1776960951.0317883
348,1897624041.6566732
349,1791294297.0506344
350,1889797101.9359467
351,1943347202.3276591
352,1789994174.5422914
353,1821150444.9614692
354,1870378821.570642
355,1714929576.1672294
356,1708739607.4958496
357,1651682036.7834241
358,1713832527.6655033
359,1753841304.8920593
360,1718804946.032878
361,1668662112.9730206
362,1900685329.931158
363,1767294651.8411283
364,1774182851.6926727
365,1841900614.3911712
366,1756891220.676355
367,1745536330.33155
368,1755266688.0026395
369,1762717143.2732427
370,1779841609.9829533
371,1782311405.1183174
372,1652094058.2708156
373,1619195459.563749
374,1631373191.667705
375,1742806306.2398746
376,1755515460.8433628
377,1685002139.3116846
378,1746213231.4391322
379,1763429062.0253053
380,1893075222.1721265
381,1643933419.1973484
382,1545531350.9449737
383,1739926016.0261104
384,1806474347.2775106
385,1851957151.1374874
386,1826008971.8507426
387,1841370280.9358878
388,1815015906.7332096
389,1774932200.298484
390,1794680183.0988681
391,1888883678.7605214
392,1740983757.0680025
393,1962528785.7886622
394,1971965507.0188468
395,1908598672.4279182
396,2011996589.913023
397,1976527201.5116372
398,1876670934.5594535
399,2028456117.3145218
400,1921976094.8952212
401,1756692785.833443
402,2001141029.9927952
403,1929042092.1919866
404,1875174487.218476
405,1930349203.9263103
406,1923826778.93929
407,1965468577.4428856
408,1965645126.0777154
409,1895034214.024621
410,1924826202.2810326
411,1837155697.384881
412,1854538895.4287887
413,1917365128.635183
414,1925501046.087918
415,1916886388.2018335
416,1871899383.7325017
417,2022416480.4707386
418,1997755915.011007
419,1953368316.2221982
420,1822207386.7524784
421,1973500412.444594
422,2063619642.6677012
423,2143728852.6057122
424,2011412330.6516767
425,2070494283.2594085
426,1927510584.6463187
427,1951294136.888671
428,2003303492.622501
429,1897797892.1034572
430,1976107316.5106847
431,1993476823.2386322
432,2108272567.9256754
433,1972185423.4352715
434,1955472394.9991693
435,2099770900.6975775
436,2086649152.5272214
437,1901093273.1449926
438,1988721462.647009
439,1910902187.5917358
440,1940552146.1968522
441,1941851530.959584
442,1863848774.3823137
443,1906062418.4088213
444,1904099225.3806837
445,1903847136.88964
446,1883476038.6057367
447,1889248536.3310113
448,1759045395.4071095
449,1723275167.825222
450,1897487020.002644
451,1943622039.4142187
452,1693064959.7052011
453,1802204449.6605053
454,1648895999.5191307
455,1603512410.3288202
456,1678300867.7257152
457,1801768506.4994378
458,1706541267.4285896
459,1652170915.961584
460,1474005552.2070777
461,1625321656.218363
462,1558658226.7401705
463,1600512864.8429155
464,1653481549.496721
465,1687828714.2229347
466,1594409661.3939307
467,1759833360.3896005
468,1804167182.985722
469,1611638130.5189137
470,1576086823.6198368
471,1560906421.281045
472,1409898946.8026793
473,1537006790.969159
474,1540222955.8678076
475,1530219078.4442265
476,1506382372.705221
477,1580572008.295462
478,1502337779.6488345
479,1788150541.7178016
480,1601811321.0044436
481,1680857304.6074967
482,1777262397.1663857
483,1813092283.7676759
484,1898290568.6072264
485,1832960447.6166804
486,1802702687.061408
487,1798356582.0487468
488,1708223445.9633734
489,1816569955.8257272
490,1865145818.0769212
491,1732290014.657136
492,1827393209.3598285
493,1809737048.1995604
494,1827271573.6831393
495,1803803362.609595
496,1703149901.2244766
497,1704196949.6317313
498,1767119424.2352195
499,1746165030.8720424
500,1690291092.4152308
501,1706742067.5674117
502,1713517998.8347695
503,1509799002.408144
504,1645465931.3639953
505,1743425253.3473883
506,1856391852.8210795
507,1728370652.7481697
508,1826890689.0430832
509,1726076969.9724703
510,1669656408.079264
511,1646011789.3463848
512,1811436423.518374
513,1886508425.568939
514,1860497717.5749762
515,1708519369.9273276
516,1721452104.385356
517,1818270726.526495
518,1714417508.8187084
519,1719746228.981433
520,1900097635.0436609
521,1947127294.582663
522,1720965335.5155933
523,1619914886.6283884
524,1743235960.242787
525,1728906312.8040872
526,1736580029.6710951
527,1640197707.1356318
528,1652985265.6608658
529,1665321041.832448
530,1646467906.896405
531,1728031285.0422425
532,1517368691.9708605
533,1522029904.4116216
534,1576433690.1856499
535,1478134576.4929695
536,1562200428.0482864
537,1503947655.6844876
538,1438046329.7990038
539,1432112030.2749162
540,1468782343.6441388
541,1521784441.3841724
542,1422196273.316169
543,1410615902.2822852
544,1399483942.3690016
545,1336101104.3297143
546,1331916441.721296
547,1289427723.0455241
548,1335012736.8518105
549,1316062272.2033072
550,1331873616.537789
551,1444966609.0097363
552,1295467070.6727762
553,1386771979.4629035
554,1423278737.8109863
555,1376649353.5521915
556,1475900569.011398
557,1434732454.9188595
558,1323764136.090069
559,1267106548.8678524
560,1469712400.4120173
561,1295136646.7890553
562,1426169383.4257
563,1439403839.0965197
564,1558575593.7149858
565,1691228957.1367264
566,1506022809.7209268
567,1536576810.8535092
568,1533140152.6213727
569,1586044370.614183
570,1454872292.6580894
571,1423509904.7499716
572,1434050036.8493745
573,1360960759.4556367
574,1427486299.7242842
575,1439363855.3008175
576,1496227622.6017866
577,1443705417.195332
578,1501308420.1831276
579,1619507648.0135915
580,1761044411.9914136
581,1770675014.8268902
582,1719677135.5971227
583,1655606946.059161
584,1643178255.63591
585,1731065166.3736427
586,1730828306.3211014
587,1769813111.412905
588,1784154730.4069567
589,1609887835.5608654
590,1719557079.0896451
591,1761213064.177307
592,1769795530.6458826
593,1703823605.6522717
594,1875691972.2783713
595,1999072769.250176
596,2091196612.5409474
597,1870275633.304609
598,2032771051.0361657
599,1876589831.4472656
600,2034301226.2337856
601,1938891412.8893883
602,1908018024.5611486
603,1991680776.304613
604,1982905852.2695932
605,2036934439.9342093
606,2071559121.2439318
607,2056333832.2620108
608,2022962255.8306887
609,2091711023.235973
610,2034295277.1579623
611,1822234406.8060954
612,1912305519.738876
613,1797938874.4890487
614,1778642038.3708692
615,1688465188.146727
616,1666898652.9413438
617,1737444764.224711
618,1781402215.938323
619,1646667007.7654555
620,1854892655.153329
621,1825174673.1561422
622,2007979257.474741
623,1904189141.6708655
624,1780682920.3864934
625,1773990123.1744268
626,1824716449.8089008
627,1717029113.4500809
628,1758411882.3408728
629,1728477381.3831127
630,1758241211.9509811
631,1859904302.8658302
632,1699956293.6958313
633,1812792306.0825014
634,1673353303.294025
635,1732825391.8110952
636,1743998004.7446458
637,1736224678.2843423
638,1824962766.7150707
639,1845931013.6123672
640,1719220807.061271
641,1761440879.5302854
642,1883817748.5764627
643,1800481288.8032446
644,1788109676.6110368
645,1803641975.7943108
646,1957350241.7523708
647,1829443947.9683893
648,2014393592.7488186
649,1965291568.8084219
650,1875199235.3856585
651,1823403251.6946845
652,1866076175.179987
653,1897662682.1227174
654,1939072058.486949
655,2035757307.313459
656,2061293156.9332428
657,2067991339.435707
658,2009626079.5087905
659,1900982061.9011595
660,1737453494.0988204
661,1950931594.9005773
662,1985334611.6666894
663,1943419354.26932
664,1788919755.6509519
665,2009256497.3727808
666,1905398305.4180772
667,1793104005.1927304
668,1843441261.9185045
669,1873185338.7016037
670,1820148129.039951
671,1902852103.5388308
672,1848603419.6095426
673,1911946653.7072399
674,1855508029.8653026
675,1939962028.0513055
676,2058007059.5381544
677,1985749031.4617302
678,2060668872.5734663
679,1966612507.2623303
680,1949344819.0499973
681,2044858207.8543122
682,1982743895.0736496
683,1959037975.3709934
684,1808787872.328857
685,1937331352.4080994
686,1922962912.2628696
687,1918251384.1207805
688,1833999887.095352
689,1901347381.072206
690,1808726664.5357575
691,1638647167.2009761
692,1947827006.1702983
693,1769064394.8143642
694,1833979773.1169138
695,1634790772.1894872
696,1678672134.5090828
697,1788490533.4463034
698,1899103621.5107815
699,1719036748.873948
700,1595154047.0582945
701,1743680038.9842575
702,1704489962.3811598
703,1674549613.6096795
704,1814374313.1033466
705,1819794714.3558075
706,1719135372.9836397
707,1756220623.1399248
708,1768626940.4351215
709,1846096315.8258805
710,1818961575.2519522
711,1791078891.505294
712,1813707951.6691816
713,1754475243.4613626
714,1781416186.9007034
715,1797204949.5853446
716,1901872508.1006825
717,1827530194.9740634
718,1701208044.2239602
719,1800517819.4497507
720,1739361990.9549823
721,1871463918.9645395
722,1953521500.870226
723,1976274985.3610802
724,2066833846.228968
725,2025691223.8918388
726,1987879952.6379006
727,2002196679.841408
728,1902846450.5986116
729,1964818630.4341145
730,1901443184.0966804
731,2124282411.7983527
732,1963535654.9337947
733,1979855117.9929752
734,1895749849.3235526
735,2131369299.0994427
736,2008822405.1663435
737,2066527077.8163655
738,2117634933.9625216
739,2086996299.9619396
740,2176449116.409663
741,2089620492.710704
742,2229422281.4264812
743,2112687892.6105065
744,2191146832.000286
745,2120240480.6050909
746,2015449473.577099
747,1983984260.8665287
748,2066059670.6327474
749,2056306998.238569
750,1933938285.506315
751,1951782342.0628924
752,2097263458.4465315
753,2105403838.2507951
754,2031012084.7470107
755,1889811222.5685432
756,2075179821.8737264
757,1985560710.7009208
758,1918599912.294391
759,1807823836.04828
760,1953335895.4397783
761,1892673592.2694013
762,1949539711.9211113
763,1846679392.9346921
764,1842140565.4383633
765,1818171011.1530442
766,1928296389.8638673
767,1679554337.894853
768,1802280207.3379092
769,1850486189.5874505
770,1749223309.0650423
771,1592900654.1068435
772,1811740506.0475864
773,1699334573.4850745
774,1591639332.2040598
775,1544347521.5374913
776,1636288552.6404846
777,1558320794.4046943
778,1544338605.788089
779,1496733816.0397704
780,1485087397.4927218
781,1565473468.8957791
782,1598947510.9422
783,1604111862.6796165
784,1574965351.076305
785,1656645456.5875382
786,1552998627.485913
787,1481129278.3907163
788,1472721606.6403735
789,1547536972.1681106
790,1360949625.2227771
791,1188915473.4059944
792,1344778086.0838146
793,1446802493.774804
794,1400630923.6627095
795,1378141455.8371532
796,1423216684.9556813
797,1451495421.0389886
798,1467861575.1767898
799,1510502338.2708552
800,1382227482.886374
801,1487928460.7008998
802,1475281959.1419532
803,1513000620.5271807
804,1455625607.821717
805,1443837670.53567
806,1363431302.219138
807,1293349514.7702873
808,1474669666.4021509
809,1411049142.8347824
810,1385481036.2941136
811,1472662891.928349
812,1290853823.9560888
813,1307121836.5034509
814,1315581650.2516422
815,1302232858.9451642
816,1280270400.1100712
817,1295124721.519588
818,1328664756.6911001
819,1289620583.31083
820,1392826156.0851126
821,1370895457.1394894
822,1468334172.431237
823,1433595366.7032137
824,1482911253.1764045
825,1354345767.2516513
826,1363263561.9452596
827,1351944574.1863077
828,1417273685.106843
829,1396562388.9100034
830,1401032599.8980293
831,1417643063.8390772
832,1310652678.590565
833,1323850480.4541082
834,1448399651.9849722
835,1481424950.5444477
836,1506635545.2803905
837,1369083258.4422219
838,1441974899.899158
839,1471108946.957846
840,1518562970.3491306
841,1517470013.1963944
842,1707179298.5794086
843,1581353052.1534002
844,1656160203.2929428
845,1679750469.7034683
846,1614479453.5761566
847,1684507145.4368548
848,1633850210.3718507
849,1662378088.1679084
850,1819481501.905716
851,1601068432.0205798
852,1647244691.5410547
853,1692871731.771497
854,1711786180.6296332
855,1579760948.5247037
856,1801548128.1485353
857,1683116323.4567184
858,1844435302.4250357
859,1619734425.6121404
860,1791807036.534454
861,1991672675.4518335
862,1897759173.319391
863,1797736380.9842305
864,1968482426.177713
865,1851774374.87737
866,1880363195.2780638
867,1920279266.3149555
868,2052578657.9744508
869,1903496332.0599504
870,2016355778.7828946
871,1716440726.6524582
872,1700553101.2293167
873,1693778917.134644
874,1682780433.5925908
875,1633007604.888996
876,1709904271.5554204
877,1860246365.866066
878,1848371595.9667587
879,1820441024.3254676
880,1816821247.1845958
881,1801720231.9908457
882,1811490685.7375448
883,1876450816.6583667
884,1784144785.6388607
885,1801854883.5420163
886,1788912092.8107402
887,1889567488.2910223
888,1859725640.796172
889,1876338527.164636
890,1705602756.3942523
891,1936684031.1279817
892,1820398969.4368157
893,1765669513.5455606
894,1845433454.0535965
895,1741281819.3811607
896,1698793995.026504
897,1646321954.8593109
898,1702534107.8225355
899,1793745675.8702533
900,1851182494.9485874
901,1749080031.2493584
902,1789267459.3277364
903,1820637744.6170778
904,1733446210.0159347
905,1774009135.194953
906,1802048602.9766488
907,1643426932.9671574
908,1841659268.9628606
909,1718914885.2800844
910,1601605832.89374
911,1895732017.5249012
912,1740348275.4280887
913,1602217578.1328585
914,1713515061.073817
915,1647103307.8312325
916,1591189958.8011234
917,1484397909.6460738
918,1556507480.710682
919,1637936726.8594618
920,1700638912.4438698
921,1554563850.1225228
922,1417898246.4946258
923,1413064996.7062175
924,1455019767.634776
925,1398551343.015246
926,1472315079.9342449
