tick,delta_ns
0,300225882.1848866
1,199782613.51884454
2,199465049.54914287
3,201666225.05129918
4,204315625.1965946
5,268585655.3763885
6,197204820.19793308
7,202817988.37805775
8,199945128.1654864
9,200926794.52996883
10,206273337.13164818
11,208706769.28488126
12,203055782.45000485
13,204161818.59800082
14,197564281.36595258
15,205476902.21583414
16,197896695.2646355
17,201898087.15282774
18,203431487.36400205
19,200653620.832119
20,197089773.70605394
21,202325962.12029082
22,204005098.32665643
23,196654890.1291159
24,201241696.24481928
25,205549450.30422178
26,206638694.35327804
27,205844460.10251608
28,203227976.6687278
29,203350832.56626952
30,201894102.30608717
31,207350624.92687008
32,197896575.43213472
33,201900889.08705473
34,203266191.35819247
35,202260488.1684996
36,197753281.64273614
37,201921053.24621183
38,201914736.68893617
39,199114946.28302565
40,200526069.5263458
41,202422420.7773393
42,199598167.38658
43,202239544.02530956
44,206941294.62427402
45,198475545.49643794
46,201069468.76154703
47,205851759.3054676
48,198828248.85971534
49,199160392.5486969
50,202163833.87978908
51,200451025.3331974
52,205461872.72919604
53,201831733.60700035
54,204116758.81934527
55,197263038.93257794
56,194858953.89902747
57,204839467.52833566
58,199757983.96200523
59,197838623.14198327
60,202222668.63498506
61,199173028.82808176
62,195665171.27283707
63,196627063.5405444
64,200460997.059874
65,196054658.6662597
66,197482694.23653206
67,208757383.00395432
68,201416730.31282452
69,203230120.24133813
70,203889545.1102779
71,197269431.21459803
72,195958146.38648394
73,201970359.3668027
74,196597375.817583
75,208037244.15198568
76,207371226.4582131
77,200649627.85590205
78,197807638.64440292
79,201209822.11334535
80,206124201.12529963
81,205761012.3849596
82,205510072.64835542
83,203064112.39275402
84,200669371.42885652
85,200867724.08373094
86,198720696.44923463
87,201613528.22567332
88,197016466.66325775
89,198231693.77536312
90,199389580.26634434
91,203859140.95047182
92,201886156.8427581
93,201277388.93463427
94,198306641.58320323
95,200303091.30436417
96,199377518.60837603
97,198877825.45742172
98,199585729.91599432
99,205925748.23291942
100,202372664.7905468
101,249085613.85937762
102,236592229.65659952
103,243313645.33577448
104,265642425.40464467
105,293567864.057462
106,298625084.2142287
107,329774181.3441902
108,357913673.13520646
109,387464376.1411071
110,389824845.1499175
111,372281891.0251602
112,379130702.65701926
113,482737628.51667136
114,371074360.25470024
115,343878215.6652388
116,405623820.78592765
117,407134430.0226307
118,425013422.49165404
119,501982581.0214811
120,600079856.4333743
121,592088767.0096176
122,620930314.2530223
123,817472604.4268556
124,856418696.5612113
125,916292155.8150569
126,851166270.9466908
127,938822925.8918805
128,913293160.2440536
129,861954112.3845
130,1027295195.4838028
131,1088421411.2881346
132,1111241305.2754357
133,1094371230.5538163
134,1102475509.6715758
135,1138234566.2988253
136,1189988155.251103
137,1311817906.0009274
138,1226736668.6378055
139,1200346999.7804458
140,1324784387.8181992
141,1267883747.8622103
142,1314778315.2440548
143,1482194963.6935709
144,1421374767.7431033
145,1331999667.4101233
146,1408659915.6831155
147,1368769486.735457
148,1422214216.5842645
149,1262899444.0237482
150,1261629423.2066245
151,1355468202.9716582
152,1500831249.740511
153,1555751081.4318469
154,1452235814.7986546
155,1424578640.4716315
156,1436829112.5279992
157,1487368132.0683472
158,1647486217.946535
159,1641100149.7696764
160,1650885518.0074253
161,1875119553.9298942
162,1644065055.7540433
163,1610524835.0168285
164,1757263043.3956137
165,1549489279.655536
166,1869762795.413696
167,1734653327.9186337
168,1633850196.7721598
169,1812436605.5724792
170,1674219616.1756425
171,1578891160.610533
172,1800715137.853275
173,1562588287.9824796
174,1608010958.1089869
175,1578885490.799341
176,1652249607.7549565
177,1725870204.5080528
178,1570546351.1922333
179,1513796253.2288716
180,1542092127.402431
181,1733269554.6915846
182,1609910735.7787378
183,1668726357.530753
184,1596084065.4392834
185,1652125007.410592
186,1648210107.2019913
187,1391261912.9853268
188,1546844076.1490304
189,1507183641.6426759
190,1432469530.985646
191,1550976531.0634687
192,1584524991.4704492
193,1411556821.4955761
194,1440845561.5894606
195,1470920773.7034264
196,1658460653.6234672
197,1573461921.6919334
198,1417859455.5641038
199,1398685356.825081
200,1549508253.3777683
201,1624538634.2626762
202,1518549430.400866
203,1526882484.0705216
204,1665005083.0572145
205,1563204148.453132
206,1548297408.028474
207,1600747585.0355349
208,1578622513.5549812
209,1567402321.2119546
210,1663861911.549781
211,1632583979.7790053
212,1658236714.8897336
213,1529241386.4303114
214,1498822121.3283405
215,1503691294.9648843
216,1511440037.5510106
217,1548197895.4774837
218,1558974811.6335118
219,1514170765.5820446
220,1651963412.7026486
221,1759076762.010116
222,1672402033.8970237
223,1784124733.6844988
224,1712768882.2991667
225,1726666732.0066726
226,1834664705.2567208
227,1740553296.1054902
228,1575359706.741291
229,1558994387.8787277
230,1633740191.6599276
231,1642045408.4470265
232,1519782297.3941844
233,1515040021.750535
234,1526826360.2242393
235,1461319530.323645
236,1539282910.767062
237,1517110411.4751887
238,1548405512.318428
239,1497552957.7888255
240,1544913312.8405864
241,1539044541.631446
242,1720674600.227353
243,1634540045.1062298
244,1557415946.3945806
245,1640530330.9484727
246,1615553760.5387464
247,1507969119.6219525
248,1639104685.7697842
249,1580577092.1620522
250,1617860239.1681592
251,1551792399.4624789
252,1626799251.0972595
253,1601261916.827794
254,1574324224.8533103
255,1609870278.3774924
256,1669520080.9836235
257,1660208646.5544252
258,1620681819.4897883
259,1638887980.9310012
260,1652350607.0426188
261,1503919078.3821146
262,1575667482.860868
263,1583333623.565169
264,1502400905.513512
265,1581054787.971447
266,1680287803.7070518
267,1485763560.6659207
268,1441928986.483237
269,1443037457.2244408
270,1570035612.0745523
271,1605091995.8118105
272,1718903120.914531
273,1802223879.3388128
274,1804279414.22112
