tick,delta_ns
0,199879121.76432726
1,199986028.90301076
2,201063281.73038122
3,200518515.66849446
4,200121150.71007916
5,200377841.98545134
6,200139504.52708346
7,199495827.16106567
8,200349253.26046512
9,200767923.23543477
10,200372593.46769413
11,200036035.65277416
12,200336318.0335973
13,199280414.70411843
14,200437307.2989882
15,199500868.8023104
16,200478327.21629906
17,200130582.3833156
18,200824609.3511154
19,200033623.65017527
20,200499423.81826058
21,199636161.04649493
22,200244939.60901636
23,200143896.99802274
24,200024142.9145085
25,200247185.1155691
26,199689679.65314922
27,200291511.13264996
28,199900323.51671055
29,199950183.01482335
30,200074098.81123227
31,199472811.55493987
32,200320064.13747856
33,200525711.7117716
34,200187818.14378607
35,199458857.20061272
36,200279328.83189476
37,199459700.121383
38,200211713.36153775
39,200331787.45412105
40,200609032.1024775
41,199721457.4963057
42,200272290.90887752
43,199827172.4522487
44,199794481.42786545
45,199867565.79951742
46,200057415.96915597
47,200367187.69056937
48,200143912.60588428
49,199852702.74976185
50,199357595.38404354
51,200333630.45353657
52,200516318.14509964
53,200907141.27755162
54,199386648.66123608
55,200076783.51387084
56,199862029.55453318
57,200120051.9732351
58,200352195.15745875
59,199960574.81714967
60,200247200.35458505
61,200230291.82815596
62,199651500.01946983
63,199459859.50050727
64,200332281.02085233
65,200064381.72520518
66,200332053.6782926
67,200101060.09633365
68,200377663.308488
69,199707488.46596628
70,199977286.9532233
71,199720361.5481568
72,200774517.8397991
73,200339670.2218723
74,199794582.40635735
75,200286683.47548
76,200434909.86467007
77,200497454.42560408
78,200124193.61263695
79,200077157.20888868
80,200169960.96175545
81,199852202.28970352
82,200012921.98579276
83,199318448.33156747
84,199703170.0360195
85,200224074.76943922
86,200101301.11707786
87,200581676.23966455
88,199658203.34009787
89,200281121.4969289
90,200245426.44900286
91,200126872.49051416
92,200519981.15562183
93,200217410.5278542
94,199889901.8333875
95,200886217.56792143
96,200248837.96708885
97,199446543.1580248
98,200458152.84261882
99,200946224.5813104
100,200953883.26698762
101,199607797.01140124
102,199890303.1885874
103,199833756.05569482
104,199985892.44253483
105,200518423.525429
106,199940160.90901473
107,200057847.1447996
108,200182684.04766643
109,200733129.18581492
110,200304187.1991327
111,200065437.1714739
112,199959015.00255895
113,200179112.4323995
114,199789313.063613
115,200096009.39733586
116,200370639.91636783
117,199988649.93125477
118,200118977.88362068
119,200021641.63605976
120,200411618.7648995
121,199602728.18747127
122,199778062.1528975
123,199828170.41963193
124,199666636.1077841
125,200073032.09051085
126,200786177.91149876
127,200180474.6869135
128,200383071.4370638
129,200381279.30771175
130,200563978.73302644
131,200222375.4209596
132,199892430.01241526
133,200298927.61325306
134,200077698.73514882
135,200166858.84199694
136,200336178.71417025
137,200193543.65963778
138,200489698.5315691
139,200178007.5744852
140,200195597.44851598
141,200040559.38480318
142,199787339.62506303
143,200358498.01244098
144,200549993.5489842
145,199941889.91610426
146,200153359.13438663
147,200235112.29157484
148,200451483.377684
149,200321142.01867342
150,199379127.9415264
151,200136214.72761703
152,200124549.8378751
153,199691688.85599533
154,199650070.54125696
155,200524210.08049166
156,199642718.38202593
157,199729769.45997483
158,200261948.03843477
