tick,delta_ns
0,199676923.64330235
1,200684984.66161284
2,200024277.9824786
3,200372657.24135596
4,200066280.26813814
5,200145279.8531898
6,200643973.37816107
7,200132632.42328835
8,199877285.10542685
9,200630276.78811407
10,200687577.75373188
11,199816356.40055227
12,200564399.0787018
13,200816319.6384697
14,200529791.4231429
15,200576803.8088762
16,200307792.31104952
17,200390141.84632167
18,199608678.21137986
19,199764201.52813128
20,200009732.23701358
21,200278459.00253642
22,199747503.4238275
23,200449518.32738787
24,200162129.48263595
25,200222739.7202975
26,199951025.98021808
27,200015112.3251226
28,200344940.2814231
29,200160505.97901666
30,200078065.430565
31,199926420.01577276
32,200366460.96742854
33,200039201.33067545
34,200105732.94490442
35,200273907.13127676
36,200855853.37199125
37,200044293.12824756
38,200499598.47861117
39,200582838.68116212
40,199972099.4519698
41,200090840.68728876
42,200801707.39892498
43,200590052.9157526
44,199988355.16956964
45,200360570.13405183
46,200801531.69941074
47,199961890.1349021
48,199981826.66898477
49,199633116.76500437
50,200944495.14154673
51,200244197.90299875
52,199766041.59774446
53,200151352.928422
54,199970192.75125775
55,199817208.14819115
56,199724403.47037423
57,200512278.51419947
58,200510536.38899744
59,201031514.39217475
60,199857896.90990165
61,200417473.70527557
62,200133615.5075856
63,200205231.30641946
64,200261209.69164273
65,200075705.7079844
66,199603350.05762142
67,200227655.460695
68,199488000.8028625
69,200219390.628793
70,199924038.31190082
71,201138164.5849318
72,199912845.08109257
73,199648835.45483884
74,199925876.18730113
75,200147089.08802417
76,199696583.98886704
77,200171282.8332762
78,199171511.40765697
79,200945020.6202032
80,200450035.55858484
81,199458688.96878478
82,200924309.51453167
83,199857000.1975798
84,200455695.73122942
85,200389142.53954414
86,200303037.4555472
87,201003556.5243615
88,201160977.70015174
89,200099589.89160305
90,199946461.7683319
91,199667679.1041313
92,200204700.49271753
93,200205569.69235066
94,199983306.7645851
95,200485759.7837207
96,200031539.38129184
97,199609743.46672946
98,199880567.76175252
99,199897359.99341944
100,200271605.25638312
101,199885225.52053714
102,199800678.18731532
103,200491276.2685501
104,199898264.01976827
105,200234431.57864305
106,200570438.08049017
107,200427878.96212703
108,199693853.60274523
109,200335492.92186958
110,200018825.48843947
111,199832999.80854806
112,199496522.6535317
113,199826337.2706662
114,199129102.15472445
115,199331404.27784187
116,200210051.02784345
117,200158095.8951771
118,199674450.86947465
119,200506394.10229588
120,199442727.14107922
121,200340972.61433667
122,200259932.90589732
123,199660829.2372759
124,200681779.1547931
125,200566698.58894286
126,199430324.05050552
127,200234308.2423596
128,200072164.81488892
129,199637621.01005235
130,200424346.0139472
131,199911953.74159944
132,200403323.39454523
133,201121544.77460688
134,200248723.64960435
135,200449582.3803416
136,200845965.94096068
137,201142310.6826207
138,200891356.01815066
139,200678663.41040778
140,200410287.67407688
141,200243524.35061404
142,199936112.6843359
143,200250658.3981755
144,199999566.9574723
145,200127603.5639458
146,200246102.81085113
147,200058317.48236522
148,199577752.90724534
149,199774213.10519207
150,200943856.91699448
151,199835496.52502573
152,200472764.4558916
153,200299645.3310819
154,200570520.25586087
155,199840212.15271145
156,200814793.40761697
157,199564391.48235083
158,199699981.93684086
159,199717331.91885942
160,200744829.88455042
161,200139868.62440825
162,200927451.23702526
163,199970107.88686
164,200415751.45751804
165,200179297.57776693
166,200138625.30500567
167,199696754.60048395
168,199811399.36463362
169,200246097.12501922
170,200578736.37671524
171,200798381.2759415
172,199812050.8906565
173,200395766.4396698
174,200212389.3522165
175,199440963.5294297
176,200351324.02063382
177,199986035.4008361
178,199952755.64039153
179,200278219.17895815
180,200262760.78055233
181,200372134.0660563
182,200769270.32222924
183,200015919.07777372
184,200575212.49864197
185,200240965.69727975
186,200537210.22452977
187,200148867.38116032
188,200178664.95202225
189,200129731.6750682
190,200625619.98953333
191,200848124.19022846
192,199532052.56485733
193,199709378.5287364
194,199649191.1604228
195,200279198.35224256
196,200085031.63548836
197,200129513.64668512
198,200558539.81777743
199,200283678.01578578
200,200369313.67377973
201,199938616.04413116
202,200601075.0961136
203,201087052.67724687
204,199294871.50249937
205,200510587.74599922
206,200606823.73996115
207,200691451.40668193
208,199595226.98290434
209,200755295.5948993
210,200136183.1949188
211,200566538.41072515
212,200292819.53771716
213,199761195.82826018
214,199573346.26135814
215,200741633.08778068
216,199904463.72101563
217,200181654.87161165
218,199783835.46639076
219,199929650.42315415
220,200243081.95260775
221,199985600.98110095
222,200089500.0327355
223,200539780.57333782
224,200245944.7577157
225,200853302.52985618
226,200395194.5159688
227,200253690.54659164
228,199934158.0673847
229,199975012.1189957
230,200619097.89197364
231,200579041.86006048
232,200106156.7530364
233,200824932.6995294
234,200067576.66176024
235,200830590.77968147
236,200039228.55208293
237,200174792.51086506
238,199924012.46978775
239,199399611.7741508
240,200015950.44855645
241,200142668.95552716
242,200256458.9955373
243,200800640.29471964
244,200879139.79954708
245,200255337.01594368
246,200031166.85126793
247,200098244.79843578
248,199857359.20673645
249,199906902.39136356
250,200329026.4532049
251,200203271.79765677
252,199953878.6716674
253,200656657.62402174
254,199811000.31607708
255,200126482.28813085
256,199910464.7167421
257,200578332.97871366
